Volt	VoltFs	VoltErr	VoltErrA	Cur	CurFs	CurErr
400	100	16.1245155	16	0.009	4	0.002
420	100	16.5758861	17	0.013	4	0.002
440	100	17.03643155	17	0.019	4	0.002
460	100	17.50542773	18	0.028	4	0.002
480	100	17.98221343	18	0.045	4	0.002
500	100	18.46618531	18	0.073	4	0.002
520	100	18.95679298	19	0.105	4	0.002
540	100	19.45353438	19	0.161	4	0.003
560	100	19.95595149	20	0.250	4	0.003
580	100	20.46362627	20	0.381	4	0.004
600	100	20.97617696	20	0.612	4	0.004
620	100	21.49325476	20	0.915	4	0.006
640	200	28.01142624	30	1.491	4	0.008
680	200	28.84718357	30	3.060	4	0.014
700	200	29.27456234	30	5.84	40	0.04
